long_station_name,data_owner_id,dwr_sample_code,collection_date2,lab_result,field_result,rpd
Sacramento River @ Hood - C3A,0310,E0123B0002,01/11/2023 10:15,118,115,-2.575107296137339
C9 - West Canal @ Clifton Court Intake,0310,E0123B0003,01/11/2023 12:45,548,550,0.36429872495446264
C10A - San Joaquin River near Vernalis @ SJR Club,0310,E0123B0004,01/11/2023 14:45,278,272,-2.181818181818182
D12 - San Joaquin River @ Antioch Ship Channel,0310,E0123B0007,01/12/2023 08:45,190,194,2.083333333333333
D19 - Frank's Tract near Russo's Landing,0310,E0123B0008,01/12/2023 10:20,224,226,0.8888888888888888
D28A - Old River @ Rancho Del Rio,0310,E0123B0009,01/12/2023 11:15,506,496,-1.996007984031936
D16 - San Joaquin River @ Twitchell Island,0310,E0123B0029,01/13/2023 08:45,163,165,1.2195121951219512
D26 - San Joaquin River @ Potato Point,0310,E0123B0030,01/13/2023 09:40,187,191,2.1164021164021163
MD10A - Disappointment Slough @ Bishop Cut,0310,E0123B0031,01/13/2023 11:20,241,244,1.2371134020618557
P8 - San Joaquin River @ Buckley Cove,0310,E0123B0032,01/13/2023 13:00,253,253,0
D4 - Sacramento River above Point Sacramento,0310,E0123B0051,01/17/2023 11:55,154,160,3.821656050955414
D22 - Sacramento River @ Emmaton,0310,E0123B0052,01/17/2023 12:40,170,174,2.3255813953488373
NZ068 in Sacramento River,0310,E0123B0053,01/17/2023 13:50,138,141,2.1505376344086025
D8 - Suisun Bay off Middle Point nr. Nichols,0310,E0123B0106,01/18/2023 12:55,181,186,2.7247956403269753
D10 - Sacramento River @ Chipps Island,0310,E0123B0107,01/18/2023 13:40,168,173,2.932551319648094
D7 - Grizzly Bay @ Dolphin nr. Suisun Slough,0310,E0123B0141,01/19/2023 10:55,186,184,-1.0810810810810811
NZS42 - Suisun Slough @ Volanti Slough,0310,E0123B0142,01/19/2023 12:20,1010,998,-1.1952191235059761
NZ032 - Montezuma Slough nr Grizzly Island Club,0310,E0123B0143,01/19/2023 13:45,727,718,-1.245674740484429
D41A - San Pablo Bay near Mouth of Petaluma River,0310,E0123B0183,01/20/2023 10:20,5330,5400,1.30475302889096
D41 - San Pablo Bay near Pinole Point,0310,E0123B0184,01/20/2023 11:45,9630,10135,5.110043005312421
NZ325 - San Pablo Bay near Rock Wall and Light 15,0310,E0123B0185,01/20/2023 12:40,8940,10004,11.233108108108109
NZ002 - Carquinez Strait near Glencove Harbor,0310,E0123B0186,01/20/2023 13:25,4190,3733,-11.536034330430391
NZ004 - Carquinez Strait near Ozol Pier,0310,E0123B0187,01/20/2023 14:15,4880,4929,0.9990824752778061
D7 - Grizzly Bay @ Dolphin nr. Suisun Slough,0310,E0223B0190,02/06/2023 13:50,3860,3881,0.5425655600051673
NZS42 - Suisun Slough @ Volanti Slough,0310,E0223B0191,02/06/2023 15:20,2540,2543,0.11804052724768838
NZ032 - Montezuma Slough nr Grizzly Island Club,0310,E0223B0192,02/06/2023 16:25,2620,2633,0.4949552636588616
D41A - San Pablo Bay near Mouth of Petaluma River,0310,E0223B0201,02/07/2023 13:25,19900,21327,6.92264777936789
D41 - San Pablo Bay near Pinole Point,0310,E0223B0202,02/07/2023 15:00,25600,28387,10.324707800025932
NZ325 - San Pablo Bay near Rock Wall and Light 15,0310,E0223B0203,02/07/2023 15:50,18400,18863,2.485038778412903
