"","long_station_name","data_owner_id","dwr_sample_code","collection_date2","lab_result","field_result","rpd"
"1","Sacramento River @ Hood - C3A","0310","E0123B0002","01/11/2023 10:15",118,115,-2.57510729613734
"2","C9 - West Canal @ Clifton Court Intake","0310","E0123B0003","01/11/2023 12:45",548,550,0.364298724954463
"3","C10A - San Joaquin River near Vernalis @ SJR Club","0310","E0123B0004","01/11/2023 14:45",278,272,-2.18181818181818
"4","D12 - San Joaquin River @ Antioch Ship Channel","0310","E0123B0007","01/12/2023 08:45",190,194,2.08333333333333
"5","D19 - Frank's Tract near Russo's Landing","0310","E0123B0008","01/12/2023 10:20",224,226,0.888888888888889
"6","D28A - Old River @ Rancho Del Rio","0310","E0123B0009","01/12/2023 11:15",506,496,-1.99600798403194
"7","D16 - San Joaquin River @ Twitchell Island","0310","E0123B0029","01/13/2023 08:45",163,165,1.21951219512195
"8","D26 - San Joaquin River @ Potato Point","0310","E0123B0030","01/13/2023 09:40",187,191,2.11640211640212
"9","MD10A - Disappointment Slough @ Bishop Cut","0310","E0123B0031","01/13/2023 11:20",241,244,1.23711340206186
"10","P8 - San Joaquin River @ Buckley Cove","0310","E0123B0032","01/13/2023 13:00",253,253,0
"11","D4 - Sacramento River above Point Sacramento","0310","E0123B0051","01/17/2023 11:55",154,160,3.82165605095541
"12","D22 - Sacramento River @ Emmaton","0310","E0123B0052","01/17/2023 12:40",170,174,2.32558139534884
"13","NZ068 in Sacramento River","0310","E0123B0053","01/17/2023 13:50",138,141,2.1505376344086
"14","D6 - Suisun Bay @ Bulls Head nr. Martinez","0310","E0123B0105","01/18/2023 11:10",615,412,-39.5326192794547
"15","D8 - Suisun Bay off Middle Point nr. Nichols","0310","E0123B0106","01/18/2023 12:55",181,186,2.72479564032698
"16","D10 - Sacramento River @ Chipps Island","0310","E0123B0107","01/18/2023 13:40",168,173,2.93255131964809
"17","D7 - Grizzly Bay @ Dolphin nr. Suisun Slough","0310","E0123B0141","01/19/2023 10:55",186,184,-1.08108108108108
"18","NZS42 - Suisun Slough @ Volanti Slough","0310","E0123B0142","01/19/2023 12:20",1010,998,-1.19521912350598
"19","NZ032 - Montezuma Slough nr Grizzly Island Club","0310","E0123B0143","01/19/2023 13:45",727,718,-1.24567474048443
"20","D41A - San Pablo Bay near Mouth of Petaluma River","0310","E0123B0183","01/20/2023 10:20",5330,5400,1.30475302889096
"21","D41 - San Pablo Bay near Pinole Point","0310","E0123B0184","01/20/2023 11:45",9630,10135,5.11004300531242
"22","NZ325 - San Pablo Bay near Rock Wall and Light 15","0310","E0123B0185","01/20/2023 12:40",8940,10004,11.2331081081081
"23","NZ002 - Carquinez Strait near Glencove Harbor","0310","E0123B0186","01/20/2023 13:25",4190,3733,-11.5360343304304
"24","NZ004 - Carquinez Strait near Ozol Pier","0310","E0123B0187","01/20/2023 14:15",4880,4929,0.999082475277806
"25","D7 - Grizzly Bay @ Dolphin nr. Suisun Slough","0310","E0223B0190","02/06/2023 13:50",3860,3881,0.542565560005167
"26","NZS42 - Suisun Slough @ Volanti Slough","0310","E0223B0191","02/06/2023 15:20",2540,2543,0.118040527247688
"27","NZ032 - Montezuma Slough nr Grizzly Island Club","0310","E0223B0192","02/06/2023 16:25",2620,2633,0.494955263658862
"28","D41A - San Pablo Bay near Mouth of Petaluma River","0310","E0223B0201","02/07/2023 13:25",19900,21327,6.92264777936789
"29","D41 - San Pablo Bay near Pinole Point","0310","E0223B0202","02/07/2023 15:00",25600,28387,10.3247078000259
"30","NZ325 - San Pablo Bay near Rock Wall and Light 15","0310","E0223B0203","02/07/2023 15:50",18400,18863,2.4850387784129
"31","NZ002 - Carquinez Strait near Glencove Harbor","0310","E0223B0204","02/07/2023 16:40",14800,15801,6.54226986046208
"32","NZ004 - Carquinez Strait near Ozol Pier","0310","E0223B0205","02/07/2023 17:25",10300,11742,13.0841121495327
"33","Sacramento River @ Hood - C3A","0310","E0223B0222","02/10/2023 09:00",199,197,-1.01010101010101
"34","C9 - West Canal @ Clifton Court Intake","0310","E0223B0223","02/10/2023 11:00",409,401,-1.97530864197531
"35","C10A - San Joaquin River near Vernalis @ SJR Club","0310","E0223B0224","02/10/2023 12:30",376,372,-1.06951871657754
"36","D12 - San Joaquin River @ Antioch Ship Channel","0310","E0223B0247","02/13/2023 09:10",286,277,-3.19715808170515
"37","D16 - San Joaquin River @ Twitchell Island","0310","E0223B0309","02/13/2023 10:15",249,244,-2.02839756592292
"38","D19 - Frank's Tract near Russo's Landing","0310","E0223B0248","02/13/2023 11:15",274,271,-1.10091743119266
"39","D28A - Old River @ Rancho Del Rio","0310","E0223B0249","02/13/2023 12:15",282,276,-2.1505376344086
"40","D26 - San Joaquin River @ Potato Point","0310","E0223B0310","02/14/2023 09:40",229,225,-1.76211453744493
"41","MD10A - Disappointment Slough @ Bishop Cut","0310","E0223B0311","02/14/2023 11:00",320,314,-1.89274447949527
"42","P8 - San Joaquin River @ Buckley Cove","0310","E0223B0312","02/14/2023 12:35",442,436,-1.36674259681093
"43","D4 - Sacramento River above Point Sacramento","0310","E0223B0351","02/15/2023 10:55",498,497,-0.201005025125628
"44","D22 - Sacramento River @ Emmaton","0310","E0223B0352","02/15/2023 11:45",241,238,-1.25260960334029
"45","NZ068 in Sacramento River","0310","E0223B0353","02/15/2023 12:40",213,210,-1.41843971631206
"46","D6 - Suisun Bay @ Bulls Head nr. Martinez","0310","E0223B0445","02/16/2023 11:00",20300,20473,0.848600789738307
"47","D8 - Suisun Bay off Middle Point nr. Nichols","0310","E0223B0446","02/16/2023 12:15",4100,4532,10.0092678405931
"48","SF Estuarine Entrapment Zone- 6000 ?S/cm bottom EC","0310","E0223B0397","02/16/2023 13:10",1740,1640,-5.91715976331361
"49","D10 - Sacramento River @ Chipps Island","0310","E0223B0447","02/16/2023 13:50",789,798,1.13421550094518
"50","SF Estuarine Entrapment Zone- 2000 ?S/cm bottom EC","0310","E0223B0398","02/16/2023 14:50",1580,1599,1.1953444479396
"51","Sacramento River @ Hood - C3A","0310","E0622B1194","06/20/2022 10:00",122,121,-0.823045267489712
"52","C9 - West Canal @ Clifton Court Intake","0310","E0622B1195","06/20/2022 11:45",441,437,-0.911161731207289
"53","C10A - San Joaquin River near Vernalis @ SJR Club","0310","E0622B1196","06/20/2022 13:15",137,136,-0.732600732600733
"54","D12 - San Joaquin River @ Antioch Ship Channel","0310","E0622B1199","06/21/2022 09:50",4930,5157,4.5008426687816
"55","SF Estuarine Entrapment Zone-6000 µS/cm bottom EC","0310","E0622B1211","06/21/2022 10:30",4150,4499,8.07029714417852
"56","SF Estuarine Entrapment Zone-2000 µS/cm bottom EC","0310","E0622B1212","06/21/2022 11:30",1840,1852,0.650054171180932
"57","D16 - San Joaquin River @ Twitchell Island","0310","E0622B1200","06/21/2022 12:15",1200,1210,0.829875518672199
"58","D19 - Frank's Tract near Russo's Landing","0310","E0622B1201","06/21/2022 13:45",637,644,1.09289617486339
"59","D28A - Old River @ Rancho Del Rio","0310","E0622B1202","06/21/2022 14:45",497,496,-0.201409869083585
"60","D26 - San Joaquin River @ Potato Point","0310","E0622B1224","06/22/2022 10:05",531,545,2.60223048327138
"61","MD10A - Disappointment Slough @ Bishop Cut","0310","E0622B1225","06/22/2022 11:30",405,414,2.1978021978022
"62","P8 - San Joaquin River @ Buckley Cove","0310","E0622B1226","06/22/2022 13:10",489,501,2.42424242424242
"63","D4 - Sacramento River above Point Sacramento","0310","E0622B1245","06/23/2022 11:45",9510,9452,-0.611749815420314
"64","SF Estuarine Entrapment Zone- 6000 ?S/cm bottom EC","0310","E0622B1271","06/23/2022 12:25",4080,4933,18.9282148008432
"65","D22 - Sacramento River @ Emmaton","0310","E0622B1246","06/23/2022 12:55",3230,3429,5.97687340441508
"66","SF Estuarine Entrapment Zone- 2000 ?S/cm bottom EC","0310","E0622B1272","06/23/2022 13:40",1390,1410,1.42857142857143
"67","NZ068 in Sacramento River","0310","E0622B1247","06/23/2022 14:20",610,627,2.74858528698464
"68","D6 - Suisun Bay @ Bulls Head nr. Martinez","0310","E0622B1299","06/24/2022 12:00",29500,30016,1.73398749915989
"69","D8 - Suisun Bay off Middle Point nr. Nichols","0310","E0622B1300","06/24/2022 12:45",18900,19074,0.916416495496919
"70","D10 - Sacramento River @ Chipps Island","0310","E0622B1301","06/24/2022 13:25",14600,14757,1.06959157952107
"71","D7 - Grizzly Bay @ Dolphin nr. Suisun Slough","0310","E0622B1335","06/27/2022 13:55",21900,22086,0.84572363933979
"72","NZS42 - Suisun Slough @ Volanti Slough","0310","E0622B1336","06/27/2022 15:15",17600,17814,1.20856158581352
"73","NZ032 - Montezuma Slough nr Grizzly Island Club","0310","E0622B1337","06/27/2022 16:15",19500,19691,0.974713582199995
"74","D41A - San Pablo Bay near Mouth of Petaluma River","0310","E0622B1377","06/28/2022 12:35",39600,40279,1.70007135792887
"75","D41 - San Pablo Bay near Pinole Point","0310","E0622B1378","06/28/2022 14:10",43700,44653,2.15725555442373
"76","NZ325 - San Pablo Bay near Rock Wall and Light 15","0310","E0622B1379","06/28/2022 15:00",37300,38116,2.163997029808
"77","NZ002 - Carquinez Strait near Glencove Harbor","0310","E0622B1380","06/28/2022 15:25",36300,37054,2.05578427897593
"78","NZ004 - Carquinez Strait near Ozol Pier","0310","E0622B1381","06/28/2022 15:40",32800,33498,2.1056442124951
"79","Sacramento River @ Hood - C3A","0310","E0722B1400","07/18/2022 08:45",122,121,-0.823045267489712
"80","C9 - West Canal @ Clifton Court Intake","0310","E0722B1401","07/18/2022 10:40",567,566,-0.176522506619594
"81","C10A - San Joaquin River near Vernalis @ SJR Club","0310","E0722B1402","07/18/2022 12:00",229,229,0
"82","D12 - San Joaquin River @ Antioch Ship Channel","0310","E0722B1411","07/19/2022 08:20",4410,4894,10.4041272570937
"83","SF Estuarine Entrapment Zone-6000 µS/cm bottom EC","0310","E0722B1427","07/19/2022 08:20",4680,4894,4.47044077710466
"84","SF Estuarine Entrapment Zone-2000 µS/cm bottom EC","0310","E0722B1428","07/19/2022 09:10",1770,1784,0.787844682048396
"85","D19 - Frank's Tract near Russo's Landing","0310","E0722B1412","07/19/2022 10:50",587,587,0
"86","D28A - Old River @ Rancho Del Rio","0310","E0722B1413","07/19/2022 11:50",554,555,0.18034265103697
"87","D16 - San Joaquin River @ Twitchell Island","0310","E0722B1445","07/20/2022 08:20",703,701,-0.284900284900285
"88","D26 - San Joaquin River @ Potato Point","0310","E0722B1446","07/20/2022 09:15",403,403,0
"89","MD10A - Disappointment Slough @ Bishop Cut","0310","E0722B1447","07/20/2022 10:45",319,317,-0.628930817610063
"90","P8 - San Joaquin River @ Buckley Cove","0310","E0722B1448","07/20/2022 12:25",527,529,0.378787878787879
"91","D4 - Sacramento River above Point Sacramento","0310","E0722B1473","07/21/2022 10:30",7140,7174,0.475059382422803
"92","SF Estuarine Entrapment Zone- 6000 ?S/cm bottom EC","0310","E0722B1505","07/21/2022 10:55",6500,6527,0.414523681584402
"93","D22 - Sacramento River @ Emmaton","0310","E0722B1474","07/21/2022 11:25",2000,1917,-4.23793719683431
"94","SF Estuarine Entrapment Zone- 2000 ?S/cm bottom EC","0310","E0722B1506","07/21/2022 11:45",1260,1276,1.26182965299685
"95","NZ068 in Sacramento River","0310","E0722B1475","07/21/2022 12:20",223,223,0
"96","D6 - Suisun Bay @ Bulls Head nr. Martinez","0310","E0722B1539","07/22/2022 11:15",26600,27316,2.6559833815565
"97","D8 - Suisun Bay off Middle Point nr. Nichols","0310","E0722B1540","07/22/2022 12:05",14800,14847,0.317064121158971
"98","D10 - Sacramento River @ Chipps Island","0310","E0722B1541","07/22/2022 12:50",11400,11493,0.812475429170489
"99","D7 - Grizzly Bay @ Dolphin nr. Suisun Slough","0310","E0722B1581","07/25/2022 13:30",22500,22769,1.1884512580353
"100","NZS42 - Suisun Slough @ Volanti Slough","0310","E0722B1582","07/25/2022 14:55",17900,18018,0.657052174397238
"101","NZ032 - Montezuma Slough nr Grizzly Island Club","0310","E0722B1583","07/25/2022 15:50",18100,18190,0.496004408928079
"102","D41A - San Pablo Bay near Mouth of Petaluma River","0310","E0722B1629","07/26/2022 11:40",39800,40394,1.48140758660249
"103","D41 - San Pablo Bay near Pinole Point","0310","E0722B1630","07/26/2022 13:10",43900,44548,1.46526772793054
"104","NZ325 - San Pablo Bay near Rock Wall and Light 15","0310","E0722B1631","07/26/2022 13:55",36800,37323,1.41116792358647
"105","NZ002 - Carquinez Strait near Glencove Harbor","0310","E0722B1632","07/26/2022 14:10",33900,35669,5.08559847058316
"106","NZ004 - Carquinez Strait near Ozol Pier","0310","E0722B1633","07/26/2022 14:30",30200,32716,7.99796554135673
"107","Sacramento River @ Hood - C3A","0310","E0822B1724","08/15/2022 08:00",120,119,-0.836820083682008
"108","C9 - West Canal @ Clifton Court Intake","0310","E0822B1725","08/15/2022 10:15",429,425,-0.936768149882904
"109","C10A - San Joaquin River near Vernalis @ SJR Club","0310","E0822B1726","08/15/2022 11:30",303,299,-1.32890365448505
"110","D12 - San Joaquin River @ Antioch Ship Channel","0310","E0822B1735","08/16/2022 07:10",5010,5474,8.85158336512781
"111","SF Estuarine Entrapment Zone-6000 µS/cm bottom EC","0310","E0822B1751","08/16/2022 07:50",5010,5077,1.3284425498166
"112","SF Estuarine Entrapment Zone-2000 µS/cm bottom EC","0310","E0822B1752","08/16/2022 08:45",2040,2011,-1.43174524808689
"113","D19 - Frank's Tract near Russo's Landing","0310","E0822B1736","08/16/2022 10:30",565,561,-0.710479573712256
"114","D28A - Old River @ Rancho Del Rio","0310","E0822B1737","08/16/2022 11:30",439,440,0.227531285551763
"115","D16 - San Joaquin River @ Twitchell Island","0310","E0822B1769","08/17/2022 07:00",731,733,0.273224043715847
"116","D26 - San Joaquin River @ Potato Point","0310","E0822B1770","08/17/2022 07:50",415,420,1.19760479041916
"117","MD10A - Disappointment Slough @ Bishop Cut","0310","E0822B1771","08/17/2022 09:20",232,233,0.43010752688172
"118","P8 - San Joaquin River @ Buckley Cove","0310","E0822B1772","08/17/2022 10:55",569,572,0.525854513584575
"119","D4 - Sacramento River above Point Sacramento","0310","E0822B1797","08/18/2022 09:00",9620,9702,0.848773418900735
"120","SF Estuarine Entrapment Zone- 6000 ?S/cm bottom EC","0310","E0822B1829","08/18/2022 09:50",4900,5045,2.91603821015586
"121","D22 - Sacramento River @ Emmaton","0310","E0822B1798","08/18/2022 10:05",3740,3547,-5.29710443255112
"122","SF Estuarine Entrapment Zone- 2000 ?S/cm bottom EC","0310","E0822B1830","08/18/2022 10:35",1940,1845,-5.01981505944518
"123","NZ068 in Sacramento River","0310","E0822B1799","08/18/2022 11:15",313,327,4.375
"124","D6 - Suisun Bay @ Bulls Head nr. Martinez","0310","E0822B1863","08/19/2022 10:10",28100,28933,2.92111584521242
"125","D8 - Suisun Bay off Middle Point nr. Nichols","0310","E0822B1864","08/19/2022 11:10",16500,16838,2.02771611974324
"126","D10 - Sacramento River @ Chipps Island","0310","E0822B1865","08/19/2022 11:50",13300,13392,0.689345122133973
"127","D7 - Grizzly Bay @ Dolphin nr. Suisun Slough","0310","E0822B1905","08/22/2022 11:50",21800,22044,1.11303713164857
"128","NZS42 - Suisun Slough @ Volanti Slough","0310","E0822B1906","08/22/2022 13:10",18800,19000,1.05820105820106
"129","NZ032 - Montezuma Slough nr Grizzly Island Club","0310","E0822B1907","08/22/2022 14:15",19100,19250,0.782268578878748
"130","D41A - San Pablo Bay near Mouth of Petaluma River","0310","E0822B1953","08/23/2022 10:35",40000,40717,1.77657742482996
"131","D41 - San Pablo Bay near Pinole Point","0310","E0822B1954","08/23/2022 12:05",44000,44875,1.9690576652602
"132","NZ325 - San Pablo Bay near Rock Wall and Light 15","0310","E0822B1955","08/23/2022 12:50",38400,38974,1.48370253573552
"133","NZ002 - Carquinez Strait near Glencove Harbor","0310","E0822B1956","08/23/2022 13:10",34100,34677,1.67788650275528
"134","NZ004 - Carquinez Strait near Ozol Pier","0310","E0822B1957","08/23/2022 13:25",33300,33744,1.32450331125828
"135","Sacramento River @ Hood - C3A","0310","E0922B2027","09/13/2022 08:00",131,131,0
"136","C9 - West Canal @ Clifton Court Intake","0310","E0922B2028","09/13/2022 10:00",439,440,0.227531285551763
"137","C10A - San Joaquin River near Vernalis @ SJR Club","0310","E0922B2029","09/13/2022 11:30",196,196,0
"138","D12 - San Joaquin River @ Antioch Ship Channel","0310","E0922B2032","09/14/2022 08:30",7090,7275,2.57570483814828
"139","D19 - Frank's Tract near Russo's Landing","0310","E0922B2033","09/14/2022 10:30",681,671,-1.4792899408284
"140","D28A - Old River @ Rancho Del Rio","0310","E0922B2034","09/14/2022 11:30",490,491,0.203873598369011
"141","D16 - San Joaquin River @ Twitchell Island","0310","E0922B2054","09/15/2022 07:15",874,873,-0.114481969089868
"142","D26 - San Joaquin River @ Potato Point","0310","E0922B2055","09/15/2022 08:15",522,524,0.382409177820268
"143","MD10A - Disappointment Slough @ Bishop Cut","0310","E0922B2056","09/15/2022 09:40",250,250,0
"144","P8 - San Joaquin River @ Buckley Cove","0310","E0922B2057","09/15/2022 11:25",701,701,0
"145","D6 - Suisun Bay @ Bulls Head nr. Martinez","0310","E0922B2130","09/19/2022 11:20",30900,30898,-0.00647270138192175
"146","D8 - Suisun Bay off Middle Point nr. Nichols","0310","E0922B2131","09/19/2022 12:20",18000,17966,-0.189067452594117
"147","D10 - Sacramento River @ Chipps Island","0310","E0922B2132","09/19/2022 13:00",14100,14324,1.57613284548269
"148","D7 - Grizzly Bay @ Dolphin nr. Suisun Slough","0310","E0922B2166","09/20/2022 11:25",20700,22017,6.16616335416813
"149","NZS42 - Suisun Slough @ Volanti Slough","0310","E0922B2167","09/20/2022 12:50",13600,13731,0.958618418645494
"150","NZ032 - Montezuma Slough nr Grizzly Island Club","0310","E0922B2168","09/20/2022 13:55",13500,13588,0.6497341996456
"151","D41A - San Pablo Bay near Mouth of Petaluma River","0310","E0922B2208","09/21/2022 10:00",39600,40246,1.61811487112692
"152","D41 - San Pablo Bay near Pinole Point","0310","E0922B2209","09/21/2022 11:45",44000,44793,1.78617683826428
"153","NZ325 - San Pablo Bay near Rock Wall and Light 15","0310","E0922B2210","09/21/2022 12:40",37300,38141,2.22955687225779
"154","NZ002 - Carquinez Strait near Glencove Harbor","0310","E0922B2211","09/21/2022 13:00",36400,37067,1.81578123511236
"155","NZ004 - Carquinez Strait near Ozol Pier","0310","E0922B2212","09/21/2022 13:20",34000,34493,1.43956316703897
"156","D4 - Sacramento River above Point Sacramento","0310","E0922B2076","09/30/2022 07:25",10700,11024,2.9828760817529
"157","D22 - Sacramento River @ Emmaton","0310","E0922B2077","09/30/2022 08:25",4780,4754,-0.545416404447241
"158","SF Estuarine Entrapment Zone- 6000 ?S/cm bottom EC","0310","E0922B2102","09/30/2022 08:25",4730,4754,0.506115563053564
"159","SF Estuarine Entrapment Zone- 2000 ?S/cm bottom EC","0310","E0922B2103","09/30/2022 09:20",1020,1054,3.27868852459016
"160","NZ068 in Sacramento River","0310","E0922B2078","09/30/2022 10:05",749,733,-2.15924426450742
"161","Sacramento River @ Hood - C3A","0310","E1022B2276","10/12/2022 08:15",140,139,-0.716845878136201
"162","C9 - West Canal @ Clifton Court Intake","0310","E1022B2277","10/12/2022 10:05",493,491,-0.40650406504065
"163","C10A - San Joaquin River near Vernalis @ SJR Club","0310","E1022B2278","10/12/2022 11:15",247,244,-1.22199592668024
"164","D12 - San Joaquin River @ Antioch Ship Channel","0310","E1022B2287","10/13/2022 09:00",6950,7092,2.02250391682097
"165","SF Estuarine Entrapment Zone-6000 µS/cm bottom EC","0310","E1022B2303","10/13/2022 09:55",5060,5106,0.904977375565611
"166","SF Estuarine Entrapment Zone-2000 µS/cm bottom EC","0310","E1022B2304","10/13/2022 11:00",1850,1835,-0.814111261872456
"167","D16 - San Joaquin River @ Twitchell Island","0310","E1022B2306","10/13/2022 11:35",1640,1618,-1.35052179251074
"168","D19 - Frank's Tract near Russo's Landing","0310","E1022B2288","10/13/2022 12:45",881,864,-1.94842406876791
"169","D28A - Old River @ Rancho Del Rio","0310","E1022B2289","10/13/2022 13:35",619,610,-1.46460537021969
"170","D26 - San Joaquin River @ Potato Point","0310","E1022B2307","10/14/2022 08:55",733,721,-1.65061898211829
"171","MD10A - Disappointment Slough @ Bishop Cut","0310","E1022B2308","10/14/2022 10:30",339,336,-0.888888888888889
"172","P8 - San Joaquin River @ Buckley Cove","0310","E1022B2309","10/14/2022 12:35",772,764,-1.04166666666667
"173","D4 - Sacramento River above Point Sacramento","0310","E1022B2319","10/17/2022 11:15",10200,9841,-3.58265555610997
"174","D22 - Sacramento River @ Emmaton","0310","E1022B2320","10/17/2022 12:05",4650,4487,-3.56791069278757
"175","SF Estuarine Entrapment Zone- 6000 ?S/cm bottom EC","0310","E1022B2336","10/17/2022 12:05",4450,4487,0.828018350676961
"176","SF Estuarine Entrapment Zone- 2000 ?S/cm bottom EC","0310","E1022B2337","10/17/2022 13:00",824,950,14.2051860202931
"177","NZ068 in Sacramento River","0310","E1022B2321","10/17/2022 13:30",829,857,3.3214709371293
"178","D6 - Suisun Bay @ Bulls Head nr. Martinez","0310","E1022B2355","10/18/2022 12:00",30900,31993,3.47574451846787
"179","D8 - Suisun Bay off Middle Point nr. Nichols","0310","E1022B2356","10/18/2022 13:15",17300,16194,-6.60416791067057
"180","D10 - Sacramento River @ Chipps Island","0310","E1022B2357","10/18/2022 14:05",12900,12655,-1.91743298767365
"181","D7 - Grizzly Bay @ Dolphin nr. Suisun Slough","0310","E1022B2382","10/19/2022 10:50",21400,21755,1.64523230216661
"182","NZS42 - Suisun Slough @ Volanti Slough","0310","E1022B2383","10/19/2022 12:15",15100,15206,0.6995314459183
"183","NZ032 - Montezuma Slough nr Grizzly Island Club","0310","E1022B2384","10/19/2022 13:30",15600,16004,2.55663840020251
"184","D41A - San Pablo Bay near Mouth of Petaluma River","0310","E1022B2415","10/20/2022 09:00",38300,38903,1.56211546183438
"185","D41 - San Pablo Bay near Pinole Point","0310","E1022B2416","10/20/2022 10:35",44100,44933,1.87121629058888
"186","NZ325 - San Pablo Bay near Rock Wall and Light 15","0310","E1022B2417","10/20/2022 11:25",38700,39354,1.67576293335383
"187","NZ002 - Carquinez Strait near Glencove Harbor","0310","E1022B2418","10/20/2022 11:45",36200,37222,2.78390673095258
"188","NZ004 - Carquinez Strait near Ozol Pier","0310","E1022B2419","10/20/2022 12:05",33500,33926,1.26360751045591
"189","Sacramento River @ Hood - C3A","0310","E1122B2474","11/10/2022 09:15",142,141,-0.706713780918728
"190","C9 - West Canal @ Clifton Court Intake","0310","E1122B2475","11/10/2022 11:05",540,533,-1.30475302889096
"191","C10A - San Joaquin River near Vernalis @ SJR Club","0310","E1122B2476","11/10/2022 12:45",366,363,-0.823045267489712
"192","D12 - San Joaquin River @ Antioch Ship Channel","0310","E1122B2485","11/14/2022 10:15",5160,5182,0.425449622896925
"193","SF Estuarine Entrapment Zone-6000 µS/cm bottom EC","0310","E1122B2501","11/14/2022 11:00",4900,4969,1.39831796534603
"194","SF Estuarine Entrapment Zone-2000 µS/cm bottom EC","0310","E1122B2502","11/14/2022 12:20",1830,1824,-0.328407224958949
"195","D19 - Frank's Tract near Russo's Landing","0310","E1122B2486","11/14/2022 13:25",984,981,-0.305343511450382
"196","D28A - Old River @ Rancho Del Rio","0310","E1122B2487","11/14/2022 14:30",684,686,0.291970802919708
"197","D16 - San Joaquin River @ Twitchell Island","0310","E1122B2519","11/15/2022 10:30",754,775,2.74689339437541
"198","D26 - San Joaquin River @ Potato Point","0310","E1122B2520","11/15/2022 12:10",420,422,0.475059382422803
"199","MD10A - Disappointment Slough @ Bishop Cut","0310","E1122B2521","11/15/2022 13:50",461,457,-0.871459694989107
"200","P8 - San Joaquin River @ Buckley Cove","0310","E1122B2522","11/15/2022 16:00",296,293,-1.01867572156197
"201","D4 - Sacramento River above Point Sacramento","0310","E1122B2547","11/16/2022 11:15",9240,9440,2.14132762312634
"202","D22 - Sacramento River @ Emmaton","0310","E1122B2548","11/16/2022 12:15",4770,4890,2.48447204968944
"203","SF Estuarine Entrapment Zone- 6000 ?S/cm bottom EC","0310","E1122B2579","11/16/2022 12:15",4760,4890,2.69430051813472
"204","SF Estuarine Entrapment Zone- 2000 ?S/cm bottom EC","0310","E1122B2580","11/16/2022 13:40",716,738,3.02613480055021
"205","NZ068 in Sacramento River","0310","E1122B2549","11/16/2022 14:15",591,638,7.64849471114727
"206","D6 - Suisun Bay @ Bulls Head nr. Martinez","0310","E1122B2613","11/17/2022 10:40",29700,30196,1.65620408708428
"207","D8 - Suisun Bay off Middle Point nr. Nichols","0310","E1122B2614","11/17/2022 11:45",15800,15863,0.397940814199539
"208","D10 - Sacramento River @ Chipps Island","0310","E1122B2615","11/17/2022 12:30",14400,14606,1.42039578018341
"209","D7 - Grizzly Bay @ Dolphin nr. Suisun Slough","0310","E1122B2655","11/18/2022 10:10",21200,21598,1.85989999532688
"210","NZS42 - Suisun Slough @ Volanti Slough","0310","E1122B2656","11/18/2022 11:25",12200,12409,1.69856556544354
